TEfam	TEpropCov	Cont_Ra	Cont_Rb	Sel_2La	Sel_2Lb	Sel_La	Sel_Lb	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
F	0.997875955819881	90.597	83.873	93.688	77.25	78.624	92.088	87.235	85.413	-1.822	-0.03	1	37.28	1.03430418115404e-09	4	522.76	1.03430418115404e-09	28242	TRUE	FBte0000005	AC005198	F-element	Dmel	F-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.936	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE_retrotransposon|DMFW|FW_DM|FW.	non-LTR	RNA	4708	FALSE	FALSE
FROGGER	0.92066049134112	2.06	1.965	2.016	2.118	2.053	2.217	2.013	2.101	0.088	0.062	1	37.79	8.07741195389481e-10	4	25.16	8.07741195389481e-10	14892	TRUE	FBte0000314	AF492763	frogger	Dmel	frogger	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element;Interspersed_repeat|FROGGER_LTR|internal_portion|FROGGER_I.	LTR	RNA	2483	FALSE	FALSE
FW2	0.987124463519313	2.806	2.511	2.668	2.753	2.678	2.866	2.659	2.741	0.082	0.044	1	29.83	4.77291471205588e-08	4	56.35	4.77291471205588e-08	23760	TRUE	FBte0001002	nnnnnnnn	Fw2	Dmel	Fw2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW2_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3961	FALSE	FALSE
FW3	0.991379310344828	2.107	1.801	2.445	2.265	1.907	2.184	1.954	2.2	0.246	0.171	1	240.37	7.03054305520655e-54	4	146.64	7.03054305520655e-54	18786	TRUE	FBte0000636	nnnnnnnn	Fw3	Dmel	Fw3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW3_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3132	FALSE	FALSE
G2	0.998710509348807	13.413	12.197	14.35	11.154	11.778	11.812	12.805	12.274	-0.532	-0.061	1	66.93	2.99905951352217e-16	4	300.11	2.99905951352217e-16	18606	TRUE	FBte0000800	AC006215	G2	Dmel	G2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF2;FW_DM|DOC|JOCKEY_superfamily|G|DMCR1A|G2_DM.	non-LTR	RNA	3102	FALSE	FALSE
G3	0.861672095548317	1.463	1.235	1.43	1.441	1.415	1.588	1.349	1.469	0.12	0.123	1	126.83	2.34684728358825e-29	4	75.3	2.34684728358825e-29	27624	TRUE	FBte0001171	nnnnnnnn	G3	Dmel	G3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1;reverse_transcriptase|ORF2|AP_endonuclease|RNase_H;DNA_binding_protein|JOCKEY_clade|G3_DM.	non-LTR	RNA	4605	FALSE	FALSE
G4_DM	1	6.322	5.735	6.168	7.286	6.096	7.372	6.029	6.73	0.702	0.159	1	374.25	1.00075390707069e-82	4	229.55	1.00075390707069e-82	23130	TRUE	FBte0000290	NA	G4	Dmel	G4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G4_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3856	FALSE	FALSE
G5_DM	0.999382207578254	7.568	6.795	7.628	7.364	7.225	7.348	7.181	7.391	0.21	0.042	1	23.88	1.02974384205221e-06	4	39.06	1.02974384205221e-06	29130	TRUE	FBte0001128	NA	G5	Dmel	G5	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	4856	FALSE	FALSE
G5A	0.97571277719113	6.836	6.399	6.842	6.916	6.377	6.952	6.617	6.772	0.155	0.033	1	5.17	0.0230566955171026	4	12.49	0.0230566955171026	17040	FALSE	FBte0000174	nnnnnnnn	G5A	Dmel	G5A	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5A_DM|JOCKEY_clade|ORF2;reverse_transcriptase.	non-LTR	RNA	2841	FALSE	FALSE
G6_DM	0.99951028403526	9.566	9.928	12.039	11.558	8.855	10.698	9.747	10.787	1.04	0.146	1	738.82	5.02100406196728e-158	4	764.36	5.02100406196728e-158	12246	TRUE	FBte0000958	NA	G6	Dmel	G6	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;DNA/RNA_binding_protein|G6_DM|JOCKEY_clad|ORF1|ORF2|RNase_H;endonuclease.	non-LTR	RNA	2042	FALSE	FALSE
G7	0.88506711409396	0.899	0.775	0.908	0.878	0.865	0.859	0.837	0.877	0.04	0.068	1	17.44	2.99653803254974e-05	4	18.35	2.99653803254974e-05	7146	TRUE	FBte0000690	AC003788	G7	Dmel	G7	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|G|G7_DM;JOCKEY_superfamily|ORF2.	non-LTR	RNA	1192	FALSE	FALSE
GTWIN	0.876804749696397	1.496	1.953	1.866	1.33	2.159	1.351	1.724	1.677	-0.048	-0.041	1	30.52	3.31916597724899e-08	4	1501.37	3.31916597724899e-08	44460	TRUE	FBte0001062	AC006215	gtwin	Dmel	gtwin	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GTWIN_I;GTWIN_LTR|LTR-retrotransposon|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7411	FALSE	FALSE
GYPSY10	0.896270396270396	4.066	3.179	3.082	2.972	3.216	3.332	3.623	3.15	-0.472	-0.201	1	602.71	5.26115013788507e-132	4	236.43	5.26115013788507e-132	36030	TRUE	FBte0000351	nnnnnnnn	gypsy10	Dmel	gypsy10	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY10_I|GYPSY10_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	6006	FALSE	FALSE
GYPSY2	0.904838473907324	6.817	6.223	6.633	7.005	6.082	6.778	6.52	6.625	0.104	0.023	1	9.1	0.00256236509556273	4	100.35	0.00256236509556273	41040	FALSE	FBte0001040	AL035631	gypsy2	Dmel	gypsy2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY2_I|GYPSY2_LTR|LTR-retrotransposon;internal_portion.	LTR	RNA	6841	FALSE	FALSE
GYPSY3	0.897748458339309	3.219	3.556	3.749	3.928	3.356	3.749	3.388	3.695	0.308	0.126	1	309.77	4.35437265702123e-69	4	141.9	4.35437265702123e-69	41832	TRUE	FBte0001030	AC007477	gypsy3	Dmel	gypsy3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY3_I;GYPSY3_LTR|endogenous_retrovirus|env|gag|pol;internal_portion.	LTR	RNA	6973	FALSE	FALSE
GYPSY4	0.942060712200817	12.851	11.421	11.746	12.659	11.124	13.364	12.136	12.223	0.087	0.01	1	3.7	0.0544320031979474	4	361.58	0.0544320031979474	41106	FALSE	FBte0000688	nnnnnnnn	gypsy4	Dmel	gypsy4	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY4_I|GYPSY4_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	6852	FALSE	FALSE
GYPSY6	0.908893432149246	7.029	6.541	6.789	7.002	6.976	6.761	6.785	6.882	0.097	0.02	1	10.51	0.00119017632918263	4	34.8	0.00119017632918263	46950	FALSE	FBte0001175	nnnnnnnn	gypsy6	Dmel	gypsy6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY6_I|GYPSY6_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	7826	FALSE	FALSE
GYPSY7	0.928363106088225	4.224	3.626	4.291	4.225	3.877	4.555	3.925	4.237	0.312	0.11	1	174.4	1.02313917924307e-39	4	138.54	1.02313917924307e-39	32910	TRUE	FBte0000171	AE003788	gypsy7	Dmel	gypsy7	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY7_I|GYPSY7_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	5486	FALSE	FALSE
GYPSY8	0.89606458123108	2.602	2.624	3.042	2.809	2.491	2.622	2.613	2.741	0.128	0.069	1	16.42	5.09264335646355e-05	4	32.37	5.09264335646355e-05	29724	TRUE	FBte0000168	AE003788	gypsy8	Dmel	gypsy8	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY8_I|GYPSY8_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	4955	FALSE	FALSE
HEL	1	3.951	3.848	3.984	4.265	4.415	4.495	3.9	4.29	0.39	0.138	1	252.74	4.82948027202033e-56	4	48.81	4.82948027202033e-56	7896	TRUE	FBte0000984	nnnnnnnn	Helena	Dmel	Helena	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.468	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|HELENA|HELENA_RT.	non-LTR	RNA	1317	TRUE	FALSE
HOPPER2	1	2.895	3.044	2.992	3.512	2.409	3.834	2.969	3.187	0.217	0.102	1	62.84	2.48778124689164e-15	4	294.37	2.48778124689164e-15	9552	TRUE	FBte0000930	AF541950	hopper2	Dmel	hopper2	terminal_inverted_repeat_element	DNA	Transib	NA	Transib	Drosophila_melanogaster	87.196	2	NA	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1593	FALSE	FALSE
INVADER	0.830605158730159	10.287	6.688	8.138	7.856	7.189	7.995	8.488	7.794	-0.693	-0.123	1	109.98	1.12177263902416e-25	4	300.73	1.12177263902416e-25	24186	TRUE	FBte0000357	nnnnnnnn	invader1	Dmel	invader1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER1_I|INVADER1_LTR|gag|integrase|protease;reverse_transcriptase|GYPSY71-I_AG|internal_portion.	LTR	RNA	4032	FALSE	FALSE
INVADER2	0.930327868852459	13.796	10.649	13.612	15.213	13.907	16.126	12.222	14.714	2.492	0.268	1	1729.93	0	4	473.09	0	30738	TRUE	FBte0001084	nnnnnnnn	invader2	Dmel	invader2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER2_I|INVADER2_LTR|gag|integrase|protease;reverse_transcriptase|internal_portion.	LTR	RNA	5124	FALSE	FALSE
INVADER3	0.915025528811087	5.109	5.167	4.506	5.101	4.505	5.197	5.138	4.827	-0.311	-0.09	1	160.31	1.1817910704824e-36	4	130.79	1.1817910704824e-36	32898	TRUE	FBte0000619	nnnnnnnn	invader3	Dmel	invader3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER3_I|INVADER3_LTR|gag|integrase|protease;reverse_transcriptase|internal_portion.	LTR	RNA	5484	FALSE	FALSE
INVADER4	0.833816425120773	7.738	7.393	8.499	8.899	8.591	9.122	7.566	8.778	1.212	0.214	1	220.78	1.17698320793236e-49	4	8.6	1.17698320793236e-49	18624	TRUE	FBte0000292	nnnnnnnn	invader4	Dmel	invader4	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER4_I|INVADER4_LTR|gag/DNA_binding_protein;internal_portion.	LTR	RNA	3105	TRUE	FALSE
INVADER6	0.865097236438076	2.704	1.94	1.797	2.242	1.649	2.011	2.322	1.925	-0.397	-0.271	1	1203.51	1.8014212335564e-258	4	703.74	1.8014212335564e-258	29304	TRUE	FBte0000591	NT_033778	invader6	Dmel	invader6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|INVADER_group|INVADER6_I|INVADER6_LTR;endogenous_retrovirus|gag|pol|internal_portion.	LTR	RNA	4885	FALSE	FALSE
IVK	1	15.807	11.952	13.078	11.607	10.485	13.284	13.879	12.113	-1.766	-0.196	1	2271.41	0	4	1725.43	0	32406	TRUE	FBte0000608	nnnnnnnn	Ivk	Dmel	Ivk	non_LTR_retrotransposon	LINE	Jockey	?	I	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|I_DM|JOCKEY_clade|IVK_DM|You.	non-LTR	RNA	5402	FALSE	FALSE
JOCKEY2	0.978704784130688	3.116	2.91	3.172	3.14	2.961	3.309	3.013	3.145	0.132	0.062	1	15.48	8.35991852197026e-05	4	13.69	8.35991852197026e-05	20562	TRUE	FBte0001092	NA	jockey2	Dmel	jockey2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|JOCKEY_clad|JOCKEY2|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3428	FALSE	FALSE
JUAN	0.999527856468366	5.702	6.188	6.533	6.99	8.035	8.428	5.945	7.497	1.552	0.335	1	14150.85	0	4	2709.72	0	25410	TRUE	FBte0000982	AY180919	Juan	Dmel	Juan	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.905	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC6_DM;JOCKEY_clade|ORF1|ORF2|Strider|endonuclease;reverse_transcriptase.	non-LTR	RNA	4236	TRUE	FALSE
LOOPER1_DM	0.984582668793195	1.542	1.389	1.381	1.619	1.451	1.65	1.465	1.525	0.06	0.058	1	37.68	8.60156995357082e-10	4	121.8	8.60156995357082e-10	11280	TRUE	FBte0000323	NA	looper1	Dmel	looper1	terminal_inverted_repeat_element	DNA	piggyBac	PiggyBac	PiggyBac	Drosophila_melanogaster	100	1	NA	piggyBac|DNA_transposon|Transposable_Element|LOOPER1_Dm;Looper/PiggyBac_superfamily|TTAA|transposase.	TIR	DNA	1881	FALSE	FALSE
MARINER2	1	9.53	8.671	8.721	9.145	8.602	9.697	9.1	9.041	-0.059	-0.009	1	0.32	0.570722805703045	4	19.07	0.570722805703045	5466	FALSE	FBte0001033	nnnnnnnn	mariner2	Dmel	mariner2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|MARINER2_DM;Mariner/Tc1-superfamily|transposase.	TIR	DNA	912	FALSE	FALSE
McCLINTOCK	0.870542635658915	4.96	4.371	5.039	4.969	5.249	5.491	4.666	5.187	0.521	0.153	1	406.39	6.50560659555661e-90	4	95.06	6.50560659555661e-90	38694	TRUE	FBte0000926	AF541948	McClintock	Dmel	McClintock	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|pol_domain|MCCLINTOCK|QUASIMODO2-I_DM.	LTR	RNA	6450	TRUE	FALSE
OPUS	0.886052386650711	18.624	15.816	14.424	13.573	16.222	14.011	17.22	14.557	-2.662	-0.242	1	1387	4.89347211917069e-299	4	293.49	4.89347211917069e-299	45120	TRUE	FBte0000918	AY180918	opus	Dmel	opus	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.93	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|LTR-retrotransposon|NOMAD_I|NOMAD_LTR;gag|pol|internal_portion.	LTR	RNA	7521	FALSE	FALSE
OSV	0.987038237200259	2.054	1.845	2.317	2.094	1.739	1.889	1.949	2.01	0.06	0.044	1	12.88	0.000333664694441475	4	139.63	0.000333664694441475	9252	FALSE	FBte0000587	AY089271	Osvaldo	Dmel	Osvaldo	LTR_retrotransposon	LTR	Gypsy	?	Gypsy	Drosophila_simulans	92.742	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy-13_DSim_;Gypsy-13_DSim-LTR|Gypsy-13_DSim-I.	LTR	RNA	1543	FALSE	FALSE
PPI251	1	23.415	14.623	6.675	8.343	11.479	13.321	19.019	9.954	-9.065	-0.934	1	6657.74	0	4	997.59	0	17436	TRUE	FBte0000037	X06779	P-element	Dmel	P-element	terminal_inverted_repeat_element	DNA	P	NA	P	Drosophila_bifasciata	79.865	2	NA	P|DNA_transposon|Transposable_Element|P-transposon|P_DB;Repetitive_element.	TIR	DNA	2907	FALSE	TRUE
QBERT	0.971372549019608	4.673	4.058	4.875	5.073	4.454	5.384	4.365	4.947	0.581	0.18	1	1044.12	1.62167936464827e-226	4	373.26	1.62167936464827e-226	45894	TRUE	FBte0001166	AF541947	accord2	Dmel	accord2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|ACCORD2_I;ACCORD2_LTR|endogenous_retrovirus|Gypsy_superfamily|gag;integrase|reverse_transcriptase|internal_portion.	LTR	RNA	7650	FALSE	FALSE
QUASIMODO	0.844456477595776	13.556	10.465	10.216	11.673	10.321	10.311	12.011	10.63	-1.381	-0.176	1	578.26	5.84205598301859e-127	4	354.64	5.84205598301859e-127	44316	TRUE	FBte0000640	AF364550	Quasimodo	Dmel	Quasimodo	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.44	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Retrovirus;gag-like|pol|env-like|QUASIMODO_LTR|QUASIMODO_I;internal_portion.	LTR	RNA	7387	FALSE	FALSE
R1-2	0.989427860696517	1.878	1.654	2.08	1.93	1.899	1.926	1.766	1.959	0.193	0.15	1	173.37	2.01207088903319e-39	4	39.48	2.01207088903319e-39	19290	TRUE	FBte0000720	nnnnnnnn	R1-2	Dmel	R1-2	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;R1_clade|R1-2_DM|endonuclease|reverse_transcriptase.	non-LTR	RNA	3216	TRUE	FALSE
ROOA_LTR	0.914053273848576	7.765	6.787	7.279	7.549	7.525	8.516	7.276	7.717	0.441	0.085	1	141.75	1.23455228989954e-32	4	187.49	1.23455228989954e-32	45720	TRUE	FBte0000765	NA	rooA	Dmel	rooA	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|reverse_transcriptase|gag;BCDPR_superfamily|endonuclease|env|internal_portion|ROOA_I;ROOA_LTR.	LTR	RNA	7621	FALSE	FALSE
ROVER	0.879611915823996	7.761	6.199	4.182	5.336	3.395	5.434	6.98	4.587	-2.393	-0.606	1	9964.96	0	4	1332.92	0	43902	TRUE	FBte0000692	AF492764	rover	Dmel	rover	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|ROVER_DM;env_domain|gag_domain|pol_domain.	LTR	RNA	7318	FALSE	TRUE
ROXELEMENT	0.99789029535865	18.802	17.53	16.938	17.692	16.144	17.178	18.166	16.988	-1.178	-0.097	1	384.98	3.74532725840788e-85	4	106.95	3.74532725840788e-85	28434	TRUE	FBte0001160	AF237761	X-element	Dmel	X-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|LINE;X-element|BS2.	non-LTR	RNA	4740	FALSE	FALSE
RT1B	1	42.055	39.217	40.824	36.181	35.51	35.325	40.636	36.96	-3.676	-0.137	1	504.62	7.19775189575117e-111	4	170.37	7.19775189575117e-111	31020	TRUE	FBte0000603	AC005734	Rt1b	Dmel	Rt1b	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	99.69	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1B|Waldo-A.	non-LTR	RNA	5171	FALSE	FALSE
RT1C	0.983281278706596	5.467	5.439	6.663	5.774	6.219	6.298	5.453	6.238	0.786	0.194	1	269.1	3.11251533701964e-60	4	32.74	3.11251533701964e-60	32652	TRUE	FBte0000666	nnnnnnnn	Rt1c	Dmel	Rt1c	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	100	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|R1/I_clade|DMRT1|DMRT1C.	non-LTR	RNA	5443	TRUE	FALSE
S2	0.999423631123919	3.796	3.144	3.171	3.499	3.472	3.681	3.47	3.456	-0.014	-0.006	1	0.15	0.696775189029169	4	49.81	0.696775189029169	10404	FALSE	FBte0000709	nnnnnnnn	S2	Dmel	S2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|S2_DM|S_DM|TIR|transposase.	TIR	DNA	1735	FALSE	FALSE
SPRINGER	0.913861648555526	8.699	6.772	5.409	5.512	7.975	6.574	7.735	6.368	-1.368	-0.281	1	2911.41	0	4	1790.58	0	45270	TRUE	FBte0000333	AF364549	springer	Dmel	springer	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.405	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy97_DM;Gypsy1-LTR_DM|Gypsy1-I_DM.	LTR	RNA	7546	FALSE	FALSE
STALKER2	0.907586027111575	5.402	5.393	2.511	4.308	4.646	3.795	5.398	3.815	-1.583	-0.501	1	4143.56	0	4	817.16	0	46026	TRUE	FBte0000472	NA	Stalker2	Dmel	Stalker2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Nonautonomous;pol|internal_portion|STALKER2_I|STALKER2_LTR;Nonautonomous_endogenous_retrovirus.	LTR	RNA	7672	FALSE	TRUE
STALKER3	1	8.591	8.397	9.979	8.917	10.334	10.653	8.494	9.971	1.477	0.231	1	255.95	1.29012566844895e-54	4	38	1.29012566844895e-54	2226	TRUE	FBte0001157	NA	Stalker3	Dmel	Stalker3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|LTR|STALKER3_LTR;TABOR_group.	LTR	RNA	372	TRUE	FALSE
TABOR	0.863989108236896	5.844	6.218	6.883	6.943	7.289	8.19	6.031	7.326	1.295	0.281	1	1311.51	5.19090849973714e-283	4	170.06	5.19090849973714e-283	44064	TRUE	FBte0000974	AC007146	Tabor	Dmel	Tabor	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|LTR-retrotransposon|TABOR_group|TABOR_I;TABOR_LTR|env|gag|pol|internal_portion.	LTR	RNA	7345	TRUE	FALSE
TAHRE	0.992449584249259	4.041	6.186	1.661	3.35	7.231	4.545	5.113	4.197	-0.917	-0.285	1	1437.09	6.09750362001737e-311	4	6023.93	6.09750362001737e-311	62772	TRUE	FBte0000148	AJ542581	TAHRE	Dmel	TAHRE	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TAHRE.	non-LTR	RNA	10463	FALSE	FALSE
TC1	1	15.228	14.321	13.97	14.985	13.9	15.639	14.775	14.624	-0.151	-0.015	1	3.75	0.0528454380767816	4	77.56	0.0528454380767816	9990	FALSE	FBte0000927	nnnnnnnn	Tc1	Dmel	Tc1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1_DM|transposase.	TIR	DNA	1666	FALSE	FALSE
TC1-2	1	8.036	7.271	7.336	8.959	7.256	9.127	7.653	8.17	0.516	0.094	1	152.53	8.75535984536692e-35	4	360.78	8.75535984536692e-35	9858	TRUE	FBte0000838	nnnnnnnn	Tc1-2	Dmel	Tc1-2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1-2_DM|transposase.	TIR	DNA	1644	FALSE	FALSE
