TEfam	TEpropCov	Cont_B1	Cont_B2	Cont_B3	Cont_B4	Cont_B5	Sel_O1	Sel_O2	Sel_O3	Sel_O4	Sel_O5	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
DOC4	0.978144034396274	3.317	3.384	3.313	3.059	3.461	4.867	4.401	4.607	4.749	4.605	3.307	4.646	1.339	0.49	1	2142.77	0	8	12.82	0	27900	TRUE	FBte0001039	nnnnnnnn	Doc4-element	Dmel	Doc4-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC4_DM;JOCKEY_clade|ORF1|ORF2|reverse_transcriptase.	non-LTR	RNA	2791	TRUE	FALSE
DOC5	0.994660401537804	16.803	11.17	15.063	26.204	24.428	15.765	13.821	13.622	15.306	13.791	18.734	14.461	-4.272	-0.373	1	1362.36	5.39152675612572e-294	8	621.87	5.39152675612572e-294	46810	TRUE	FBte0000791	nnnnnnnn	Porto1	Dmel	Porto1	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC5_DM;JOCKEY_clade|ORF1|ORF2|Porto-1|reverse_transcriptase.	non-LTR	RNA	4682	FALSE	FALSE
F	0.997875955819881	132.516	116.507	122.679	209.262	153.82	134.385	114.484	117.204	125.136	119.299	146.957	122.102	-24.855	-0.267	1	2836.73	0	8	1355.54	0	47070	TRUE	FBte0000005	AC005198	F-element	Dmel	F-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.936	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE_retrotransposon|DMFW|FW_DM|FW.	non-LTR	RNA	4708	FALSE	FALSE
FB	0.885208189556016	1.442	1.855	4.414	1.702	6.866	5.879	3.19	3.48	4.462	5.059	3.256	4.414	1.158	0.439	1	2481.83	0	8	2496.44	0	43460	TRUE	FBte0000466	X15469	NOF	Dmel	NOF	terminal_inverted_repeat_element	DNA	MuDR	MuDR	MuDR?	Drosophila	100	1	NA	MuDR|DNA_transposon|Transposable_Element|NOF_FB.	TIR	DNA	4347	FALSE	FALSE
FROGGER	0.915022150624245	1.629	2.826	1.748	1.496	1.762	3.563	3.13	2.949	3.258	3.52	1.892	3.284	1.392	0.795	1	6568.96	0	8	238.4	0	24820	TRUE	FBte0000314	AF492763	frogger	Dmel	frogger	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element;Interspersed_repeat|FROGGER_LTR|internal_portion|FROGGER_I.	LTR	RNA	2483	TRUE	FALSE
FW2	0.981822772027266	3.012	3.054	2.993	3.53	3.39	4.311	3.859	3.799	4.228	4.039	3.196	4.047	0.851	0.341	1	2636.68	0	8	80.72	0	39600	TRUE	FBte0001002	nnnnnnnn	Fw2	Dmel	Fw2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW2_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3961	TRUE	FALSE
FW3	0.974137931034483	1.987	1.724	1.876	2.773	2.628	2.362	2.655	2.514	2.441	2.431	2.197	2.481	0.283	0.175	1	265.9	1.56121425960798e-59	8	155.38	1.56121425960798e-59	31310	TRUE	FBte0000636	nnnnnnnn	Fw3	Dmel	Fw3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW3_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3132	FALSE	FALSE
G2	0.999032882011605	18.329	15.109	13.338	25.362	21.438	17.339	12.578	13.719	14.198	14.938	18.715	14.554	-4.161	-0.363	1	1413.54	1.51139782636812e-302	8	434.02	1.51139782636812e-302	31010	TRUE	FBte0000800	AC006215	G2	Dmel	G2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF2;FW_DM|DOC|JOCKEY_superfamily|G|DMCR1A|G2_DM.	non-LTR	RNA	3102	FALSE	FALSE
G3	0.983930510314875	1.896	1.815	1.792	2.063	2.062	2.537	2.23	2.333	2.481	2.422	1.926	2.401	0.475	0.318	1	1009.93	2.95793342011786e-219	8	28.56	2.95793342011786e-219	46040	TRUE	FBte0001171	nnnnnnnn	G3	Dmel	G3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1;reverse_transcriptase|ORF2|AP_endonuclease|RNase_H;DNA_binding_protein|JOCKEY_clade|G3_DM.	non-LTR	RNA	4605	TRUE	FALSE
G4_DM	1	9.414	9.115	10.301	10.716	10.853	13.698	12.699	13.077	14.156	12.945	10.08	13.315	3.235	0.402	1	1665.23	0	8	30.65	0	38550	TRUE	FBte0000290	NA	G4	Dmel	G4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G4_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3856	TRUE	FALSE
G5_DM	0.999382207578254	5.149	6.569	6.23	5.121	4.856	7.523	6.223	6.767	6.718	6.917	5.585	6.83	1.245	0.29	1	616.75	2.66711848625478e-135	8	63.59	2.66711848625478e-135	48550	TRUE	FBte0001128	NA	G5	Dmel	G5	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	4856	FALSE	FALSE
G5A	0.939105948609644	4.324	5.322	4.825	4.111	4.558	7.443	6.678	6.617	6.967	6.69	4.628	6.879	2.251	0.572	1	1132.6	1.65641947336009e-243	8	15.14	1.65641947336009e-243	28400	TRUE	FBte0000174	nnnnnnnn	G5A	Dmel	G5A	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5A_DM|JOCKEY_clade|ORF2;reverse_transcriptase.	non-LTR	RNA	2841	TRUE	FALSE
G6_DM	1	12.009	9.901	8.032	16.327	14.376	8.589	8.926	8.255	7.85	8.877	12.129	8.499	-3.63	-0.513	1	1338.45	6.9922754599296e-284	8	229.86	6.9922754599296e-284	20410	TRUE	FBte0000958	NA	G6	Dmel	G6	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;DNA/RNA_binding_protein|G6_DM|JOCKEY_clad|ORF1|ORF2|RNase_H;endonuclease.	non-LTR	RNA	2042	FALSE	FALSE
G7	0.963087248322148	0.647	0.86	0.867	0.791	0.852	0.977	0.894	0.915	0.853	0.804	0.804	0.888	0.085	0.145	1	197.58	1.59887107984653e-44	8	69.92	1.59887107984653e-44	11910	TRUE	FBte0000690	AC003788	G7	Dmel	G7	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|G|G7_DM;JOCKEY_superfamily|ORF2.	non-LTR	RNA	1192	FALSE	FALSE
GTWIN	0.877344487923357	2.764	2.067	1.372	1.382	1.383	2.758	2.119	2.223	2.508	2.376	1.794	2.397	0.603	0.418	1	3118.3	0	8	764.45	0	74100	TRUE	FBte0001062	AC006215	gtwin	Dmel	gtwin	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GTWIN_I;GTWIN_LTR|LTR-retrotransposon|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7411	FALSE	FALSE
GYPSY10	0.89027639027639	3.706	3.547	3.51	3.18	3.191	5.904	5.222	5.345	5.062	4.582	3.427	5.223	1.797	0.608	1	4446.72	0	8	77.89	0	60050	TRUE	FBte0000351	nnnnnnnn	gypsy10	Dmel	gypsy10	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY10_I|GYPSY10_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	6006	TRUE	FALSE
GYPSY2	0.897529600935536	4.495	5.942	5.642	3.822	3.619	6.317	5.341	5.646	5.862	6.171	4.704	5.867	1.163	0.319	1	2260.72	0	8	420.3	0	68400	TRUE	FBte0001040	AL035631	gypsy2	Dmel	gypsy2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY2_I|GYPSY2_LTR|LTR-retrotransposon;internal_portion.	LTR	RNA	6841	FALSE	FALSE
GYPSY3	0.893015918542951	2.268	3.128	2.506	2.271	1.907	3.802	3.516	3.823	3.216	3.219	2.416	3.515	1.099	0.541	1	6108.82	0	8	296.34	0	69720	TRUE	FBte0001030	AC007477	gypsy3	Dmel	gypsy3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY3_I;GYPSY3_LTR|endogenous_retrovirus|env|gag|pol;internal_portion.	LTR	RNA	6973	TRUE	FALSE
GYPSY4	0.932574430823117	16.97	18.294	18.015	19.852	18.572	25.131	23.576	24.568	22.958	22.073	18.341	23.661	5.32	0.367	1	4779.07	0	8	87.2	0	68510	TRUE	FBte0000688	nnnnnnnn	gypsy4	Dmel	gypsy4	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY4_I|GYPSY4_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	6852	TRUE	FALSE
GYPSY5	0.895915320939069	1.761	1.977	1.486	1.305	1.555	3.921	3.026	2.932	2.851	2.492	1.617	3.044	1.428	0.913	1	22050.09	0	8	753.23	0	73680	TRUE	FBte0000308	AE003485	gypsy5	Dmel	gypsy5	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY5_I|GYPSY5_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	7369	TRUE	FALSE
GYPSY6	0.902887809864554	7.285	8.554	7.743	6.844	6.747	9.902	8.927	8.897	8.846	9.405	7.435	9.196	1.761	0.307	1	2141.14	0	8	104.26	0	78250	TRUE	FBte0001175	nnnnnnnn	gypsy6	Dmel	gypsy6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY6_I|GYPSY6_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	7826	TRUE	FALSE
GYPSY7	0.922165512212906	4.949	5.053	4.941	6.401	6.534	8.258	6.971	7.059	7.714	7.25	5.576	7.45	1.875	0.418	1	2061.7	0	8	111.86	0	54850	TRUE	FBte0000171	AE003788	gypsy7	Dmel	gypsy7	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY7_I|GYPSY7_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	5486	TRUE	FALSE
GYPSY9	0.871938680127127	1.331	1.178	1.281	1.866	1.66	1.873	1.609	1.645	1.778	1.588	1.463	1.699	0.235	0.215	1	474.05	1.19944928703789e-104	8	168.19	1.19944928703789e-104	53480	TRUE	FBte0000764	AE002591	gypsy9	Dmel	gypsy9	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY9_I|GYPSY9_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	5349	FALSE	FALSE
HEL	0.993925588458618	3.182	4.082	3.711	3.057	3.079	6.1	5.632	5.326	5.708	5.309	3.422	5.615	2.193	0.714	1	5669.56	0	8	73.6	0	13160	TRUE	FBte0000984	nnnnnnnn	Helena	Dmel	Helena	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.468	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|HELENA|HELENA_RT.	non-LTR	RNA	1317	TRUE	FALSE
HELITRON1_DM	0.852836879432624	0.491	0.784	0.598	0.357	0.331	0.82	0.771	0.765	0.789	0.694	0.512	0.768	0.256	0.584	1	1809.63	0	8	203.44	0	5630	TRUE	FBte0000170	AE002840	Helitron	Dmel	Helitron	helitron	RC	Helitron	Helitron	Helitron	Drosophila_melanogaster	100	1	NA	Helitron|DNA_transposon|Transposable_Element|HELITRON1_DM;HELITRON1_DM.|rolling-circle_DNA_transposon|the_HELITRON_class.	Helitron	DNA	564	FALSE	FALSE
HOPPER2	1	4.313	5.044	4.781	3.688	4.285	6.725	6.6	5.868	6.425	6.228	4.422	6.369	1.947	0.526	1	1058.64	6.97362777998549e-225	8	21.48	6.97362777998549e-225	15920	TRUE	FBte0000930	AF541950	hopper2	Dmel	hopper2	terminal_inverted_repeat_element	DNA	Transib	NA	Transib	Drosophila_melanogaster	87.196	2	NA	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1593	TRUE	FALSE
INE1	0.983633387888707	10.796	6.356	8.521	8.696	12.878	9.505	8.128	8.533	8.325	7.811	9.449	8.461	-0.989	-0.159	1	9.68	0.0018764425065699	8	12.97	0.0018764425065699	6100	FALSE	FBte0000312	U66884	INE-1	Dmel	INE-1	terminal_inverted_repeat_element	DNA	Helitron	NA	NA	Drosophila_simulans	82.086	2	NA	Helitron|DNA_transposon|Transposable_Element|Nonautonomous;DNAREP1_DSim.	TIR	DNA	611	FALSE	FALSE
INVADER	0.820436507936508	10.556	12.45	9.762	10.622	10.257	14.03	11.975	12.675	13.226	14.689	10.729	13.319	2.59	0.312	1	1313.62	4.47164580335678e-283	8	85.92	4.47164580335678e-283	40310	TRUE	FBte0000357	nnnnnnnn	invader1	Dmel	invader1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER1_I|INVADER1_LTR|gag|integrase|protease;reverse_transcriptase|GYPSY71-I_AG|internal_portion.	LTR	RNA	4032	FALSE	FALSE
INVADER2	0.921740827478532	29.437	26.921	29.393	39.948	36.766	31.924	30.198	30.47	32.606	29.405	32.493	30.921	-1.572	-0.072	1	123.67	1.0710210363425e-28	8	326.93	1.0710210363425e-28	51230	TRUE	FBte0001084	nnnnnnnn	invader2	Dmel	invader2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER2_I|INVADER2_LTR|gag|integrase|protease;reverse_transcriptase|internal_portion.	LTR	RNA	5124	FALSE	FALSE
INVADER3	0.911743253099927	7.365	7.185	6.989	8.779	6.908	9.786	9.06	9.475	10.257	9.648	7.445	9.645	2.2	0.374	1	2887.91	0	8	92.91	0	54830	TRUE	FBte0000619	nnnnnnnn	invader3	Dmel	invader3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER3_I|INVADER3_LTR|gag|integrase|protease;reverse_transcriptase|internal_portion.	LTR	RNA	5484	TRUE	FALSE
INVADER5	0.83902922238732	1.083	1.054	1.192	1.056	1.075	1.887	2.088	2.054	2.135	1.541	1.092	1.941	0.849	0.83	1	7603.73	0	8	130.94	0	40370	TRUE	FBte0000188	nnnnnnnn	invader5	Dmel	invader5	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER5_I|INVADER5_LTR|gag|integrase|reverse_transcriptase;internal_portion.	LTR	RNA	4038	TRUE	FALSE
INVADER6	0.854657113613101	2.122	3.357	2.543	2.315	2.176	4.018	3.754	3.932	3.898	3.787	2.503	3.878	1.375	0.632	1	7187.43	0	8	202.39	0	48840	TRUE	FBte0000591	NT_033778	invader6	Dmel	invader6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|INVADER_group|INVADER6_I|INVADER6_LTR;endogenous_retrovirus|gag|pol|internal_portion.	LTR	RNA	4885	TRUE	FALSE
IVK	1	23.91	17.083	19.855	33.538	29.794	21.893	19.181	19.194	20.911	18.524	24.836	19.94	-4.896	-0.317	1	2897.05	0	8	1172.38	0	54010	TRUE	FBte0000608	nnnnnnnn	Ivk	Dmel	Ivk	non_LTR_retrotransposon	LINE	Jockey	?	I	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|I_DM|JOCKEY_clade|IVK_DM|You.	non-LTR	RNA	5402	FALSE	FALSE
JOCKEY2	0.901108518086348	2.179	2.696	2.414	2.509	2.973	4.547	4.298	4.357	4.045	4.01	2.554	4.251	1.697	0.735	1	1564.67	0	8	15.19	0	34270	TRUE	FBte0001092	NA	jockey2	Dmel	jockey2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|JOCKEY_clad|JOCKEY2|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3428	TRUE	FALSE
JUAN	0.999763928234183	16.415	17.091	20.888	19.124	18.232	20.253	22.185	22.515	18.691	20.99	18.35	20.927	2.577	0.19	1	1473.45	6.44931604599311e-317	8	243.52	6.44931604599311e-317	42350	TRUE	FBte0000982	AY180919	Juan	Dmel	Juan	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.905	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC6_DM;JOCKEY_clade|ORF1|ORF2|Strider|endonuclease;reverse_transcriptase.	non-LTR	RNA	4236	FALSE	FALSE
LOOPER1_DM	0.987240829346092	1.703	2.179	1.769	1.767	1.867	3.531	3.393	3.425	3.5	3.313	1.857	3.432	1.575	0.886	1	7857.41	0	8	27.51	0	18800	TRUE	FBte0000323	NA	looper1	Dmel	looper1	terminal_inverted_repeat_element	DNA	piggyBac	PiggyBac	PiggyBac	Drosophila_melanogaster	100	1	NA	piggyBac|DNA_transposon|Transposable_Element|LOOPER1_Dm;Looper/PiggyBac_superfamily|TTAA|transposase.	TIR	DNA	1881	TRUE	FALSE
MARINER2	1	5.963	7.076	6.772	6.054	7.236	10.436	8.578	9.457	10.136	9.747	6.62	9.671	3.051	0.547	1	1575.41	6.30949991481085e-318	8	28.86	6.30949991481085e-318	9110	TRUE	FBte0001033	nnnnnnnn	mariner2	Dmel	mariner2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|MARINER2_DM;Mariner/Tc1-superfamily|transposase.	TIR	DNA	912	TRUE	FALSE
McCLINTOCK	0.863100775193798	11.179	8.144	12.03	16.668	16.448	13.564	11.119	10.622	11.764	10.51	12.894	11.516	-1.378	-0.163	1	507.33	6.55328561709167e-112	8	792.79	6.55328561709167e-112	64490	TRUE	FBte0000926	AF541948	McClintock	Dmel	McClintock	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|pol_domain|MCCLINTOCK|QUASIMODO2-I_DM.	LTR	RNA	6450	FALSE	FALSE
OPUS	0.878473607233081	14.272	17.651	16.811	14.602	15.896	18.289	15.021	16.039	17.883	19.84	15.847	17.414	1.568	0.136	1	409.71	7.42771612932988e-91	8	189.26	7.42771612932988e-91	75200	TRUE	FBte0000918	AY180918	opus	Dmel	opus	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.93	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|LTR-retrotransposon|NOMAD_I|NOMAD_LTR;gag|pol|internal_portion.	LTR	RNA	7521	FALSE	FALSE
OSV	0.87751134154245	0.778	0.82	0.823	0.986	0.987	0.992	0.785	0.874	0.87	0.974	0.879	0.899	0.02	0.033	1	8.17	0.00426401390969437	8	69.33	0.00426401390969437	15420	FALSE	FBte0000587	AY089271	Osvaldo	Dmel	Osvaldo	LTR_retrotransposon	LTR	Gypsy	?	Gypsy	Drosophila_simulans	92.742	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy-13_DSim_;Gypsy-13_DSim-LTR|Gypsy-13_DSim-I.	LTR	RNA	1543	FALSE	FALSE
PPI251	1	22.356	20.43	16.172	17.697	23.804	35.815	50.148	49.33	31.31	28.211	20.092	38.963	18.871	0.955	1	5170.71	0	8	331.62	0	29060	TRUE	FBte0000037	X06779	P-element	Dmel	P-element	terminal_inverted_repeat_element	DNA	P	NA	P	Drosophila_bifasciata	79.865	2	NA	P|DNA_transposon|Transposable_Element|P-transposon|P_DB;Repetitive_element.	TIR	DNA	2907	TRUE	FALSE
Q	0.826086956521739	2.023	1.442	1.32	1.195	1.407	1.866	1.57	1.568	2.212	1.864	1.477	1.816	0.338	0.298	1	119.47	1.32474454422848e-27	8	36.07	1.32474454422848e-27	7580	TRUE	FBte0000124	AE002612	Q-element	Dmel	Q-element	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	96.997	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	759	FALSE	FALSE
QBERT	0.971764705882353	8.432	6.783	7.764	11.026	10.802	8.62	7.35	7.743	8.019	7.204	8.961	7.787	-1.174	-0.203	1	886.72	9.72759431657053e-194	8	494.94	9.72759431657053e-194	76490	TRUE	FBte0001166	AF541947	accord2	Dmel	accord2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|ACCORD2_I;ACCORD2_LTR|endogenous_retrovirus|Gypsy_superfamily|gag;integrase|reverse_transcriptase|internal_portion.	LTR	RNA	7650	FALSE	FALSE
QUASIMODO	0.837823202924056	32.404	33.53	36.542	38.09	33.956	49.639	50.248	43.69	44.988	41.219	34.904	45.957	11.053	0.397	1	4103.81	0	8	138.36	0	73860	TRUE	FBte0000640	AF364550	Quasimodo	Dmel	Quasimodo	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.44	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Retrovirus;gag-like|pol|env-like|QUASIMODO_LTR|QUASIMODO_I;internal_portion.	LTR	RNA	7387	TRUE	FALSE
ROOA_LTR	0.905917858548747	6.176	7.005	6.38	6.452	6.124	12.402	11.217	10.857	12.065	11.761	6.427	11.66	5.233	0.859	1	17509.66	0	8	65.73	0	76200	TRUE	FBte0000765	NA	rooA	Dmel	rooA	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|reverse_transcriptase|gag;BCDPR_superfamily|endonuclease|env|internal_portion|ROOA_I;ROOA_LTR.	LTR	RNA	7621	TRUE	FALSE
ROVER	0.871959551790107	22.684	13.3	18.144	37.546	26.706	17.626	17.433	15.836	15.773	13.358	23.676	16.005	-7.671	-0.565	1	5941.22	0	8	1779.94	0	73170	TRUE	FBte0000692	AF492764	rover	Dmel	rover	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|ROVER_DM;env_domain|gag_domain|pol_domain.	LTR	RNA	7318	FALSE	FALSE
ROXELEMENT	0.99789029535865	10.49	12.286	10.463	7.439	7.438	14.662	14.012	12.65	13.038	12.4	9.623	13.352	3.729	0.473	1	9076.02	0	8	709.57	0	47390	TRUE	FBte0001160	AF237761	X-element	Dmel	X-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|LINE;X-element|BS2.	non-LTR	RNA	4740	TRUE	FALSE
RT1B	1	23.051	26.878	20.929	20.594	16.657	26.922	24.043	25.696	22.569	25.317	21.622	24.91	3.288	0.204	1	925.51	1.69176525084082e-201	8	286.51	1.69176525084082e-201	51700	TRUE	FBte0000603	AC005734	Rt1b	Dmel	Rt1b	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	99.69	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1B|Waldo-A.	non-LTR	RNA	5171	FALSE	FALSE
S2	0.961959654178674	3.006	3.959	3.469	2.513	2.802	6.303	5.72	6.061	5.842	5.757	3.149	5.937	2.787	0.915	1	5246.17	0	8	52.04	0	17340	TRUE	FBte0000709	nnnnnnnn	S2	Dmel	S2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|S2_DM|S_DM|TIR|transposase.	TIR	DNA	1735	TRUE	FALSE
SPRINGER	0.90458521070766	3.806	4.431	4.015	4.486	2.41	4.469	5.837	5.428	4.885	4.321	3.83	4.988	1.158	0.381	1	3919.87	0	8	654.69	0	75450	TRUE	FBte0000333	AF364549	springer	Dmel	springer	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.405	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy97_DM;Gypsy1-LTR_DM|Gypsy1-I_DM.	LTR	RNA	7546	FALSE	FALSE
