TEfam	TEpropCov	Cont_B1	Cont_B2	Cont_B3	Cont_B4	Cont_B5	Sel_O1	Sel_O2	Sel_O3	Sel_O4	Sel_O5	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
MARINER2	1	8.897	10.544	10.357	9.457	11.547	14.197	12.177	12.898	14.67	13.076	10.16	13.404	3.243	0.4	1	364.59	9.10889188256605e-75	8	14.39	9.10889188256605e-75	1990	TRUE	FBte0001033	nnnnnnnn	mariner2	Dmel	mariner2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|MARINER2_DM;Mariner/Tc1-superfamily|transposase.	TIR	DNA	912	TRUE	FALSE
OSV	0.875	1.06	0.778	1.019	1.542	1.765	0.986	0.575	0.871	0.723	0.775	1.233	0.786	-0.447	-0.649	1	362.08	2.6351554894974e-74	8	68.65	2.6351554894974e-74	1990	TRUE	FBte0000587	AY089271	Osvaldo	Dmel	Osvaldo	LTR_retrotransposon	LTR	Gypsy	?	Gypsy	Drosophila_simulans	92.742	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy-13_DSim_;Gypsy-13_DSim-LTR|Gypsy-13_DSim-I.	LTR	RNA	1543	FALSE	FALSE
PPI251	1	60.775	53.398	48.67	48.725	76.406	82.028	127.763	124.061	77.109	65.554	57.595	95.303	37.708	0.727	1	1792.6	7.43830067239808e-280	8	240.35	7.43830067239808e-280	1990	TRUE	FBte0000037	X06779	P-element	Dmel	P-element	terminal_inverted_repeat_element	DNA	P	NA	P	Drosophila_bifasciata	79.865	2	NA	P|DNA_transposon|Transposable_Element|P-transposon|P_DB;Repetitive_element.	TIR	DNA	2907	FALSE	FALSE
Q	1	4.07	3.181	2.994	2.566	2.52	3.446	2.734	2.843	4.13	3.437	3.066	3.318	0.252	0.114	1	18.89	1.45625171360098e-05	8	42.1	1.45625171360098e-05	1990	TRUE	FBte0000124	AE002612	Q-element	Dmel	Q-element	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	96.997	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	759	FALSE	FALSE
ROXELEMENT	1	19.386	20.795	19.013	15.66	16.341	21.99	21.41	22.017	20.026	15.101	18.239	20.109	1.87	0.141	1	58.76	2.76735434934904e-14	8	44.24	2.76735434934904e-14	1990	TRUE	FBte0001160	AF237761	X-element	Dmel	X-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|LINE;X-element|BS2.	non-LTR	RNA	4740	FALSE	FALSE
RT1B	1	47.614	42.362	32.195	75.388	54.683	40.783	38.119	45.76	36.297	40.475	50.449	40.287	-10.162	-0.325	1	255.89	2.82026378722446e-54	8	135.97	2.82026378722446e-54	1990	TRUE	FBte0000603	AC005734	Rt1b	Dmel	Rt1b	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	99.69	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1B|Waldo-A.	non-LTR	RNA	5171	FALSE	FALSE
S2	0.835	2.247	3.36	2.897	1.237	1.51	5.383	4.796	4.482	4.198	4.563	2.25	4.684	2.434	1.058	1	319.58	2.10833480289824e-66	8	10.83	2.10833480289824e-66	1990	TRUE	FBte0000709	nnnnnnnn	S2	Dmel	S2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|S2_DM|S_DM|TIR|transposase.	TIR	DNA	1735	TRUE	FALSE
STALKER3	1	23.105	18.402	21.456	18.878	17.708	20.3	19.868	22.195	17.314	14.455	19.91	18.826	-1.084	-0.081	1	20.39	6.68351970669446e-06	8	49.29	6.68351970669446e-06	1990	TRUE	FBte0001157	NA	Stalker3	Dmel	Stalker3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|LTR|STALKER3_LTR;TABOR_group.	LTR	RNA	372	FALSE	FALSE
TAHRE	0.995	31.983	17.411	31.295	27.776	32.059	46.888	44.162	46.542	58.354	31.645	28.105	45.518	17.413	0.696	1	384.1	2.41955626617033e-78	8	32.77	2.41955626617033e-78	1990	TRUE	FBte0000148	AJ542581	TAHRE	Dmel	TAHRE	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TAHRE.	non-LTR	RNA	10463	FALSE	FALSE
TARTC	0.975	7.336	1.632	3.896	5.658	5.839	2.264	1.72	3.551	2.388	3.051	4.872	2.595	-2.278	-0.909	1	1620.92	9.00720355249274e-260	8	329.87	9.00720355249274e-260	1990	TRUE	FBte0001208	AY600955	TART-C	Dmel	TART-C	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	91.837	2	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;Repetitive_sequence|TARTB1|TART_B1.	non-LTR	RNA	11124	FALSE	FALSE
TC1	1	20.165	18.653	20.884	25.985	27.231	27.647	25.092	23.675	27.066	26.196	22.583	25.935	3.352	0.2	1	149.92	2.74987148260213e-33	8	45	2.74987148260213e-33	1990	TRUE	FBte0000927	nnnnnnnn	Tc1	Dmel	Tc1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1_DM|transposase.	TIR	DNA	1666	FALSE	FALSE
TC1-2	1	12.317	17.377	15.494	10.472	10.579	25.235	23.831	23.502	24.748	22.215	13.248	23.906	10.658	0.852	1	2840.9	0	8	54.12	0	1990	TRUE	FBte0000838	nnnnnnnn	Tc1-2	Dmel	Tc1-2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1-2_DM|transposase.	TIR	DNA	1644	TRUE	FALSE
TC3	1	6.101	7.201	8.058	4.363	4.696	9.22	8.893	8.998	8.774	8.39	6.084	8.855	2.771	0.541	1	194.54	2.96150541229623e-42	8	13.19	2.96150541229623e-42	1990	TRUE	FBte0000044	AC009537	Tc3	Dmel	Tc3	terminal_inverted_repeat_element	DNA	NA	Tc1-Mariner	Tc3	NA	NA	0	NA	NA	TIR	DNA	1743	TRUE	FALSE
TRANSIB1	0.965	4.311	4.849	4.475	4.544	5.1	7.152	5.816	6.307	6.424	6.495	4.656	6.439	1.783	0.468	1	269.89	5.67050738356609e-57	8	5.59	5.67050738356609e-57	1990	TRUE	FBte0000626	nnnnnnnn	transib1	Dmel	transib1	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	99.575	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;transposase|TRANSIB3|TRANSIB1.	TIR	DNA	2167	TRUE	FALSE
TRANSIB2	1	10.173	12.133	11.523	8.927	9.076	14.249	12.492	14.591	13.421	13.362	10.366	13.623	3.257	0.394	1	358.29	1.32092972628715e-73	8	18.5	1.32092972628715e-73	1990	TRUE	FBte0000885	nnnnnnnn	transib2	Dmel	transib2	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;TRANSIB2|TRANSIB2p_transposase.	TIR	DNA	2844	TRUE	FALSE
TRANSIB3	0.955	4.94	5.902	6.54	3.543	5.337	7.401	7.685	9.08	7.418	6.426	5.253	7.602	2.35	0.533	1	274.09	8.88311180388173e-58	8	21.74	8.88311180388173e-58	1990	TRUE	FBte0000725	nnnnnnnn	transib3	Dmel	transib3	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;TRANSIB1|TRANSIB3|transposase.	TIR	DNA	2883	FALSE	FALSE
TRANSIB4	1	4.805	4.479	6.111	4.477	5.935	4.999	5.039	5.71	4.527	4.179	5.161	4.891	-0.271	-0.078	1	15.26	9.66542548902789e-05	8	40.72	9.66542548902789e-05	1990	TRUE	FBte0001174	nnnnnnnn	transib4	Dmel	transib4	terminal_inverted_repeat_element	DNA	Jockey	?	Transib	Drosophila_melanogaster	99.115	1	NA	Transib|DNA_transposon|Transposable_Element|DDE-class;TRANSIB_family|TRANSIB4p_transposase|TRANSIB4.	TIR	DNA	2656	FALSE	FALSE
