TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Cont	Mean_Sel	Diff_SelCont	log2_SelCont	Df_Study	F_value_Study	P_value_Study	Df_Regime	F_value_Regime	P_value_Regime	Df_Interaction	F_value_Interaction	P_value_Interaction	Df_resid	FDR_Study	FDR_Regime	FDR_Interaction
STALKER3	Stalker3	FBte0001157	LTR	RNA	4454.69954545455	4573.42629166667	118.726746212121	0.0379472697519756	3	48.9337096120529	3.99533725896173e-13	1	0.508134715509996	0.480302116919977	3	0.99129516589834	0.407256422940009	38	3.99533725896173e-13	0.480302116919977	0.407256422940009
TABOR	Tabor	FBte0000974	LTR	RNA	55903.1127272727	66550.831125	10647.7183977273	0.251528067806285	3	68.5120071304369	2.17069996699411e-15	1	15.4577916762754	0.000345700443833983	3	8.38263056235695	0.000211340565658805	38	2.17069996699411e-15	0.000345700443833983	0.000211340565658805
TAHRE	TAHRE	FBte0000148	non-LTR	RNA	78828.2047272727	89975.90125	11147.6965227273	0.19082672982297	3	3.9254892545422	0.0155343778051385	1	3.01994559328814	0.09034539421986	3	1.3871217375511	0.261481857152678	38	0.0155343778051385	0.09034539421986	0.261481857152678
TC1	Tc1	FBte0000927	TIR	DNA	26608.1804090909	29738.2458333333	3130.06542424242	0.160449694256454	3	113.331473152985	5.27380128691146e-19	1	29.1659735954724	3.77735439920752e-06	3	20.2131935880022	5.3725292076332e-08	38	5.27380128691146e-19	3.77735439920752e-06	5.3725292076332e-08
TC1-2	Tc1-2	FBte0000838	TIR	DNA	18539.1749090909	21158.3435	2619.16859090909	0.190649644506626	3	13.4902125713507	3.82640804934969e-06	1	11.6041069423123	0.00156784955747774	3	4.04928878090911	0.0136207925118816	38	3.82640804934969e-06	0.00156784955747774	0.0136207925118816
TC3	Tc3	FBte0000044	TIR	DNA	5398.27577272727	6062.03779166667	663.762018939394	0.167304166883771	3	28.8737562387846	6.69265776190821e-10	1	9.68848251854902	0.00351400770162702	3	1.73847524539344	0.175483842034147	38	6.69265776190821e-10	0.00351400770162702	0.175483842034147
Tinker	diver	FBte0000001	LTR	RNA	65664.5748636364	68529.849125	2865.27426136364	0.0616172445168749	3	39.7776443840551	8.31686707208291e-12	1	0.113434833905813	0.738120090434945	3	5.89017128354972	0.00209807085043756	38	8.31686707208291e-12	0.738120090434945	0.00209807085043756
TIRANT	Tirant	FBte0000179	LTR	RNA	49290.0415454545	51873.336125	2583.29457954546	0.0736969595714256	3	12.1602792107988	1.0074343802347e-05	1	1.60353621225692	0.213110588943757	3	2.58807666306219	0.067107814010926	38	1.0074343802347e-05	0.213110588943757	0.067107814010926
TRANSIB1	transib1	FBte0000626	TIR	DNA	6251.13268181818	7374.09904166667	1122.96635984848	0.238349169030439	3	14.1236528464499	2.45291678896181e-06	1	16.6818950470519	0.000219688980347215	3	5.24236403427325	0.00398046363479187	38	2.45291678896181e-06	0.000219688980347215	0.00398046363479187
TRANSIB2	transib2	FBte0000885	TIR	DNA	35593.9052727273	39740.9453333333	4147.04006060606	0.158995960582985	3	25.3399101473526	3.55491488865621e-09	1	10.291521082058	0.00271340975271745	3	5.70850148844385	0.00250599037379803	38	3.55491488865621e-09	0.00271340975271745	0.00250599037379803
TRANSIB4	transib4	FBte0001174	TIR	DNA	6434.00181818182	7031.058	597.056181818182	0.128025451805286	3	25.39668342961	3.45670647538494e-09	1	5.98369905083641	0.0191790860364938	3	2.08102907280599	0.118904463364551	38	3.45670647538494e-09	0.0191790860364938	0.118904463364551
