TEfam	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
G3	FBte0001171	nnnnnnnn	Dmel/G3	Dmel	G3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1;reverse_transcriptase|ORF2|AP_endonuclease|RNase_H;DNA_binding_protein|JOCKEY_clade|G3_DM.	non-LTR	RNA	4605
G4_DM	FBte0000290	NA	Dmel/G4	Dmel	G4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G4_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3856
G5_DM	FBte0001128	NA	Dmel/G5	Dmel	G5	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	4856
G5A	FBte0000174	nnnnnnnn	Dmel/G5A	Dmel	G5A	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5A_DM|JOCKEY_clade|ORF2;reverse_transcriptase.	non-LTR	RNA	2841
G6_DM	FBte0000958	NA	Dmel/G6	Dmel	G6	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;DNA/RNA_binding_protein|G6_DM|JOCKEY_clad|ORF1|ORF2|RNase_H;endonuclease.	non-LTR	RNA	2042
G7	FBte0000690	AC003788	Dmel/G7	Dmel	G7	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|G|G7_DM;JOCKEY_superfamily|ORF2.	non-LTR	RNA	1192
GALILEO	FBte0001080	AY187769	Dbuz/Galileo	Dbuz	Galileo	foldback_element	NA	P	NA	NA	Drosophila_buzzatii	99.55	1	NA	P|DNA_transposon|Transposable_Element|Galileo_DB.	FB	DNA	2304
GEM	FBte0001481	AJ131629	Dsub/GEM	Dsub	GEM	terminal_inverted_repeat_element	NA	Helitron	NA	NA	Drosophila_persimilis	85.625	2	NA	Helitron|DNA_transposon|Transposable_Element|Nonautonomous;HelitronN-1_DPe.	TIR	DNA	1730
GTWIN	FBte0001062	AC006215	Dmel/gtwin	Dmel	gtwin	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GTWIN_I;GTWIN_LTR|LTR-retrotransposon|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7411
GYPSY10	FBte0000351	nnnnnnnn	Dmel/gypsy10	Dmel	gypsy10	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY10_I|GYPSY10_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	6006
GYPSY11	FBte0001041	nnnnnnnn	Dmel/gypsy11	Dmel	gypsy11	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY11_I|GYPSY11_LTR|TABOR_group;endogenous_retrovirus|env|gag|pol|internal_portion.	LTR	RNA	4428
GYPSY12	FBte0001136	AE003789	Dmel/gypsy12	Dmel	gypsy12	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY12_I|GYPSY12_LTR|endogenous_retrovirus;gag|pol|internal_portion.	LTR	RNA	10218
GYPSY2	FBte0001040	AL035631	Dmel/gypsy2	Dmel	gypsy2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY2_I|GYPSY2_LTR|LTR-retrotransposon;internal_portion.	LTR	RNA	6841
GYPSY3	FBte0001030	AC007477	Dmel/gypsy3	Dmel	gypsy3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY3_I;GYPSY3_LTR|endogenous_retrovirus|env|gag|pol;internal_portion.	LTR	RNA	6973
GYPSY4	FBte0000688	nnnnnnnn	Dmel/gypsy4	Dmel	gypsy4	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY4_I|GYPSY4_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	6852
GYPSY5	FBte0000308	AE003485	Dmel/gypsy5	Dmel	gypsy5	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY5_I|GYPSY5_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	7369
GYPSY6	FBte0001175	nnnnnnnn	Dmel/gypsy6	Dmel	gypsy6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY6_I|GYPSY6_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	7826
GYPSY7	FBte0000171	AE003788	Dmel/gypsy7	Dmel	gypsy7	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY7_I|GYPSY7_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	5486
GYPSY8	FBte0000168	AE003788	Dmel/gypsy8	Dmel	gypsy8	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY8_I|GYPSY8_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	4955
GYPSY9	FBte0000764	AE002591	Dmel/gypsy9	Dmel	gypsy9	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY9_I|GYPSY9_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	5349
HEL	FBte0000984	nnnnnnnn	Dmel/Helena	Dmel	Helena	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.468	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|HELENA|HELENA_RT.	non-LTR	RNA	1317
HELITRON1_DM	FBte0000170	AE002840	Dmel/Helitron	Dmel	Helitron	helitron	RC	Helitron	Helitron	Helitron	Drosophila_melanogaster	100	1	NA	Helitron|DNA_transposon|Transposable_Element|HELITRON1_DM;HELITRON1_DM.|rolling-circle_DNA_transposon|the_HELITRON_class.	Helitron	DNA	564
HETAVIR	FBte0000538	AY369259	Dvir/HeT-A	Dvir	HeT-A	non_LTR_retrotransposon	NA	Jockey	NA	NA	Drosophila_virilis	96.687	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|gag_domain;HET-A_DV.	non-LTR	RNA	6610
HOPPER2	FBte0000930	AF541950	Dmel/hopper2	Dmel	hopper2	terminal_inverted_repeat_element	DNA	Transib	NA	Transib	Drosophila_melanogaster	87.196	2	NA	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1593
INE1	FBte0000312	U66884	Dmel/INE-1	Dmel	INE-1	terminal_inverted_repeat_element	DNA	Helitron	NA	NA	Drosophila_simulans	82.086	2	NA	Helitron|DNA_transposon|Transposable_Element|Nonautonomous;DNAREP1_DSim.	TIR	DNA	611
INVADER	FBte0000357	nnnnnnnn	Dmel/invader1	Dmel	invader1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER1_I|INVADER1_LTR|gag|integrase|protease;reverse_transcriptase|GYPSY71-I_AG|internal_portion.	LTR	RNA	4032
INVADER2	FBte0001084	nnnnnnnn	Dmel/invader2	Dmel	invader2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER2_I|INVADER2_LTR|gag|integrase|protease;reverse_transcriptase|internal_portion.	LTR	RNA	5124
INVADER3	FBte0000619	nnnnnnnn	Dmel/invader3	Dmel	invader3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER3_I|INVADER3_LTR|gag|integrase|protease;reverse_transcriptase|internal_portion.	LTR	RNA	5484
INVADER4	FBte0000292	nnnnnnnn	Dmel/invader4	Dmel	invader4	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER4_I|INVADER4_LTR|gag/DNA_binding_protein;internal_portion.	LTR	RNA	3105
INVADER5	FBte0000188	nnnnnnnn	Dmel/invader5	Dmel	invader5	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER5_I|INVADER5_LTR|gag|integrase|reverse_transcriptase;internal_portion.	LTR	RNA	4038
INVADER6	FBte0000591	NT_033778	Dmel/invader6	Dmel	invader6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|INVADER_group|INVADER6_I|INVADER6_LTR;endogenous_retrovirus|gag|pol|internal_portion.	LTR	RNA	4885
ISBU1	FBte0001076	AF368900	Dbuz/INE-1	Dbuz	INE-1	terminal_inverted_repeat_element	NA	MINIME_DN	NA	NA	Drosophila_nigrodunni	87.027	2	NA	MINIME_DN.	TIR	DNA	1467
ISBU2	FBte0000793	AF368867	Dbuz/ISBu2	Dbuz	ISBu2	terminal_inverted_repeat_element	NA	Helitron	NA	NA	Drosophila_virilis	81.868	2	NA	Helitron|DNA_transposon|Transposable_Element|Nonautonomous;Interspersed_repeat|Helitron-1_DVir|Helitron-1N1_DVir.	TIR	DNA	726
ISBU3	FBte0000139	AY313771	Dbuz/ISBu3	Dbuz	ISBu3	terminal_inverted_repeat_element	NA	NA	NA	NA	NA	NA	0	NA	NA	TIR	DNA	993
IVK	FBte0000608	nnnnnnnn	Dmel/Ivk	Dmel	Ivk	non_LTR_retrotransposon	LINE	Jockey	?	I	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|I_DM|JOCKEY_clade|IVK_DM|You.	non-LTR	RNA	5402
JOCKEY2	FBte0001092	NA	Dmel/jockey2	Dmel	jockey2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|JOCKEY_clad|JOCKEY2|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3428
JUAN	FBte0000982	AY180919	Dmel/Juan	Dmel	Juan	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.905	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC6_DM;JOCKEY_clade|ORF1|ORF2|Strider|endonuclease;reverse_transcriptase.	non-LTR	RNA	4236
KEPLER	FBte0000662	AF368884	Dbuz/Kepler	Dbuz	Kepler	foldback_element	NA	P	NA	NA	Drosophila_buzzatii	97.318	2	NA	P|DNA_transposon|Transposable_Element|Nonautonomous;KEPLER_transposon|GALILEO_transposon|chromosomal_inversion_2j;INV2j_DB.	FB	DNA	722
LOOPER1_DM	FBte0000323	NA	Dmel/looper1	Dmel	looper1	terminal_inverted_repeat_element	DNA	piggyBac	PiggyBac	PiggyBac	Drosophila_melanogaster	100	1	NA	piggyBac|DNA_transposon|Transposable_Element|LOOPER1_Dm;Looper/PiggyBac_superfamily|TTAA|transposase.	TIR	DNA	1881
MAR	FBte0000892	AF518731	Dwil/Mar	Dwil	Mar	mite	NA	hAT	NA	NA	Drosophila_willistoni	100	1	NA	hAT|DNA_transposon|Transposable_Element|MAR_DW;hAT_MITE_family|Inverted_repeat.	mite	mite	610
MARINER2	FBte0001033	nnnnnnnn	Dmel/mariner2	Dmel	mariner2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|MARINER2_DM;Mariner/Tc1-superfamily|transposase.	TIR	DNA	912
McCLINTOCK	FBte0000926	AF541948	Dmel/McClintock	Dmel	McClintock	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|pol_domain|MCCLINTOCK|QUASIMODO2-I_DM.	LTR	RNA	6450
MERCR1A3	FBte0001036	AF015277	Dmer/R1-element	Dmer	R1-element	non_LTR_retrotransposon	NA	R1	NA	NA	Drosophila_mojavensis	82.798	2	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|R1_DMo.	non-LTR	RNA	3772
NEOR1A	FBte0001482	AF248067	Dnet/R1A	Dnet	R1A	non_LTR_retrotransposon	NA	R1	NA	NA	Drosophila_biarmipes	73.395	2	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|R1-1_DBi.	non-LTR	RNA	1757
NETR1B	FBte0001483	AF248068	Dnet/R1B	Dnet	R1B	non_LTR_retrotransposon	NA	R1	NA	NA	Drosophila_virilis	78.187	2	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|R1_DVi.	non-LTR	RNA	2038
NEWTON	FBte0000407	AF368890	Dbuz/Newton	Dbuz	Newton	foldback_element	NA	P	NA	NA	Drosophila_buzzatii	100	2	NA	P|DNA_transposon|Transposable_Element|Nonautonomous;KEPLER_transposon|GALILEO_transposon|chromosomal_inversion_2j;INV2j_DB.	FB	DNA	1510
OPUS	FBte0000918	AY180918	Dmel/opus	Dmel	opus	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.93	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|LTR-retrotransposon|NOMAD_I|NOMAD_LTR;gag|pol|internal_portion.	LTR	RNA	7521
OSV	FBte0000587	AY089271	Dmel/Osvaldo	Dmel	Osvaldo	LTR_retrotransposon	LTR	Gypsy	?	Gypsy	Drosophila_simulans	92.742	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy-13_DSim_;Gypsy-13_DSim-LTR|Gypsy-13_DSim-I.	LTR	RNA	1543
P_M	FBte0001486	X60990	Dbif/P-element_M	Dbif	P-element_M	terminal_inverted_repeat_element	NA	P	NA	NA	Drosophila_bifasciata	100	2	NA	P|DNA_transposon|Transposable_Element|P-transposon|P_DB;Repetitive_element.	TIR	DNA	2935
P_O	FBte0001485	X71634	Dbif/P-element_O	Dbif	P-element_O	terminal_inverted_repeat_element	NA	P	NA	NA	Drosophila_bocqueti	70.57	2	NA	P|DNA_transposon|Transposable_Element|KBOC_DB|P-element;putative_transposase.	TIR	DNA	2986
P_T	FBte0000823	AF012414	Damb/P-element	Damb	P-element	terminal_inverted_repeat_element	NA	P	NA	NA	Drosophila_guanche	79.71	1	NA	P|DNA_transposon|Transposable_Element|DROPELB|P_element;P_repressor|P_DG.	TIR	DNA	3329
PPI251	FBte0000037	X06779	Dmel/P-element	Dmel	P-element	terminal_inverted_repeat_element	DNA	P	NA	P	Drosophila_bifasciata	79.865	2	NA	P|DNA_transposon|Transposable_Element|P-transposon|P_DB;Repetitive_element.	TIR	DNA	2907
Q	FBte0000124	AE002612	Dmel/Q-element	Dmel	Q-element	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	96.997	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	759
QBERT	FBte0001166	AF541947	Dmel/accord2	Dmel	accord2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|ACCORD2_I;ACCORD2_LTR|endogenous_retrovirus|Gypsy_superfamily|gag;integrase|reverse_transcriptase|internal_portion.	LTR	RNA	7650
QUASIMODO	FBte0000640	AF364550	Dmel/Quasimodo	Dmel	Quasimodo	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.44	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Retrovirus;gag-like|pol|env-like|QUASIMODO_LTR|QUASIMODO_I;internal_portion.	LTR	RNA	7387
R1-2	FBte0000720	nnnnnnnn	Dmel/R1-2	Dmel	R1-2	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;R1_clade|R1-2_DM|endonuclease|reverse_transcriptase.	non-LTR	RNA	3216
ROOA_LTR	FBte0000765	NA	Dmel/rooA	Dmel	rooA	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|reverse_transcriptase|gag;BCDPR_superfamily|endonuclease|env|internal_portion|ROOA_I;ROOA_LTR.	LTR	RNA	7621
ROVER	FBte0000692	AF492764	Dmel/rover	Dmel	rover	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|ROVER_DM;env_domain|gag_domain|pol_domain.	LTR	RNA	7318
ROXELEMENT	FBte0001160	AF237761	Dmel/X-element	Dmel	X-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|LINE;X-element|BS2.	non-LTR	RNA	4740
RT1B	FBte0000603	AC005734	Dmel/Rt1b	Dmel	Rt1b	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	99.69	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1B|Waldo-A.	non-LTR	RNA	5171
RT1C	FBte0000666	nnnnnnnn	Dmel/Rt1c	Dmel	Rt1c	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	100	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|R1/I_clade|DMRT1|DMRT1C.	non-LTR	RNA	5443
S2	FBte0000709	nnnnnnnn	Dmel/S2	Dmel	S2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|S2_DM|S_DM|TIR|transposase.	TIR	DNA	1735
SGM	FBte0000136	AF043638	Dsub/SGM	Dsub	SGM	mite	NA	Helitron	NA	NA	Drosophila_persimilis	88.068	2	NA	Helitron|DNA_transposon|Transposable_Element|Nonautonomous;HelitronN-1_DPe.	mite	mite	823
SPOCK	FBte0000948	AY144571	Dmir/spock	Dmir	spock	non_LTR_retrotransposon	NA	Outcast	NA	NA	Drosophila_miranda	100	1	NA	Outcast|Non-LTR_Retrotransposon|Transposable_Element;SPOCK_DMi.	non-LTR	RNA	4952
SPRINGER	FBte0000333	AF364549	Dmel/springer	Dmel	springer	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.405	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy97_DM;Gypsy1-LTR_DM|Gypsy1-I_DM.	LTR	RNA	7546
STALKER	FBte0001066	AF420242	Dmel/Stalker	Dmel	Stalker	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.462	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;internal_portion|gag-pol_domain|STALKER4_I.	LTR	RNA	7256
STALKER2	FBte0000472	NA	Dmel/Stalker2	Dmel	Stalker2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Nonautonomous;pol|internal_portion|STALKER2_I|STALKER2_LTR;Nonautonomous_endogenous_retrovirus.	LTR	RNA	7672
STALKER3	FBte0001157	NA	Dmel/Stalker3	Dmel	Stalker3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|LTR|STALKER3_LTR;TABOR_group.	LTR	RNA	372
STALKER4	FBte0000151	Release3na_arms	Dmel/Stalker4	Dmel	Stalker4	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	98.2	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;internal_portion|gag-pol_domain|STALKER4_I.	LTR	RNA	7359
TABOR	FBte0000974	AC007146	Dmel/Tabor	Dmel	Tabor	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|LTR-retrotransposon|TABOR_group|TABOR_I;TABOR_LTR|env|gag|pol|internal_portion.	LTR	RNA	7345
TAHRE	FBte0000148	AJ542581	Dmel/TAHRE	Dmel	TAHRE	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TAHRE.	non-LTR	RNA	10463
TAKR1A2	FBte0001071	U23198	Dtak/R1-element	Dtak	R1-element	non_LTR_retrotransposon	NA	R1	NA	NA	Drosophila_biarmipes	86.069	2	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|R1-1_DBi.	non-LTR	RNA	1753
TARTC	FBte0001208	AY600955	Dmel/TART-C	Dmel	TART-C	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	91.837	2	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;Repetitive_sequence|TARTB1|TART_B1.	non-LTR	RNA	11124
TARTVIR	FBte0000683	AY219709	Dvir/TART-element	Dvir	TART-element	non_LTR_retrotransposon	NA	Jockey	NA	NA	Drosophila_virilis	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;TART_non-LTR_retrotransposon|TART_DV|gag_domain|pol_domain.	non-LTR	RNA	8500
TARTYAK	FBte0000886	AF468026	Dyak/TART-element	Dyak	TART-element	non_LTR_retrotransposon	NA	Jockey	NA	NA	Drosophila_melanogaster	90.295	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|TART-A;TART.	non-LTR	RNA	8444
TC1	FBte0000927	nnnnnnnn	Dmel/Tc1	Dmel	Tc1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1_DM|transposase.	TIR	DNA	1666
TC1-2	FBte0000838	nnnnnnnn	Dmel/Tc1-2	Dmel	Tc1-2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|TC1-2_DM|transposase.	TIR	DNA	1644
TC3	FBte0000044	AC009537	Dmel/Tc3	Dmel	Tc3	terminal_inverted_repeat_element	DNA	NA	Tc1-Mariner	Tc3	NA	NA	0	NA	NA	TIR	DNA	1743
Tinker	FBte0000001	AC004377	Dmel/diver	Dmel	diver	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	99.752	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|ORF1|gag;Retrovirus|endonuclease|internal_portion|RT|DIVER_I;DIVER_LTR.	LTR	RNA	6112
TIRANT	FBte0000179	X93507	Dmel/Tirant	Dmel	Tirant	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.974	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|TIRANT_I|TIRANT_LTR;env|gag|pol|internal_portion.	LTR	RNA	8526
TRANSIB1	FBte0000626	nnnnnnnn	Dmel/transib1	Dmel	transib1	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	99.575	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;transposase|TRANSIB3|TRANSIB1.	TIR	DNA	2167
TRANSIB2	FBte0000885	nnnnnnnn	Dmel/transib2	Dmel	transib2	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;TRANSIB2|TRANSIB2p_transposase.	TIR	DNA	2844
TRANSIB3	FBte0000725	nnnnnnnn	Dmel/transib3	Dmel	transib3	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	NA	Transib|DNA_transposon|Transposable_Element|TRANSIB_family;TRANSIB1|TRANSIB3|transposase.	TIR	DNA	2883
TRANSIB4	FBte0001174	nnnnnnnn	Dmel/transib4	Dmel	transib4	terminal_inverted_repeat_element	DNA	Jockey	?	Transib	Drosophila_melanogaster	99.115	1	NA	Transib|DNA_transposon|Transposable_Element|DDE-class;TRANSIB_family|TRANSIB4p_transposase|TRANSIB4.	TIR	DNA	2656
TV1	FBte0000415	Z49253	Dvir/Paris	Dvir	Paris	non_LTR_retrotransposon	NA	Mariner/Tc1	NA	NA	Drosophila_virilis	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|PARIS;Tc1-like_transposon_Paris|terminal_inverted_repeat.	non-LTR	RNA	1730
